ID,Task,Priority,PercentComplete,Notes
40,View All Survivors filter tabs show correct counts,High,0,Filtering UI partial; counts not verified
41,Knocked Out section expands/paginates for large lists,High,0,Pagination not implemented
42,Take Action appears only when unsubmitted pick with open lock,High,0,Lock detection not implemented server-side
43,Action Center lists every league needing a pick with accurate lock countdown,High,0,Action Center mock exists; countdowns not wired
44,Opening a league from Action Center goes to Pick Selection scoped to correct GW,High,0,Navigation partial
45,Already-used team blocked as primary pick enforced server-side,High,0,Server-side enforcement partially implemented in picksRouter getUsedTeamsThisCycle but team pools placeholder
46,Same rule applies to backup pick and backup != primary,High,0,Partial enforcement client/server
47,Review & Submit shows selected primary/backup before final confirmation,High,0,UI exists but review flow not fully complete
48,After submit: league moves from Locking Soon to Submitted and counts update,High,0,State transitions not fully wired end-to-end
49,Editing submitted pick allowed pre-lock and blocked post-lock server-side,High,0,Server TODO at picks submission notes; not implemented
50,NO PICK SUBMITTED BY LOCK TIME: confirm outcome (auto-loss/auto-pick/etc.),High,0,Policy undefined; results engine required
51,Lock countdown correctness across timezones/DST,High,0,Not implemented; needs centralized UTC lock timestamp on server
52,Rapid double-tap or slow-network doesn't create duplicate pick,High,0,Not implemented; requires server-side idempotency or dedupe
53,Network failure at deadline doesn't silently drop pick,High,0,Not implemented; requires robust client retry/queue or server confirmation
54,Urgency banner switches correctly and matches Home,Medium,0,Mocked UI; not fully wired
55,Every pick appears in exactly one status bucket,Medium,0,Status buckets use mock data; not guaranteed production-ready
56,Edit only available on pre-lock picks,Medium,0,Server enforcement absent
57,Live picks show live score/minute updating,Medium,0,Live updating (WS/poll) not implemented
58,Pick History strip matches League History and Opponent Profile,Medium,0,Cross-screen consistency not implemented
59,League switcher loads correct fixtures per league,Medium,100,Implemented: `Fixtures.tsx` uses `useGetFixturesQuery({ league })`
60,Lock-countdown banner matches countdown shown elsewhere,Medium,0,Countdown component and server lock timestamp missing
61,Today/Tomorrow/Upcoming bucketing by local midnight,Medium,0,Not implemented; fixtures grouped by matchday
62,Kickoff times converted to user's local timezone,Medium,100,Implemented via `Intl.DateTimeFormat(...).format(new Date(fixture.utcDate))`
63,Team form (last 5) accurate and updates after match completes,Medium,50,Server calculates form (`standings` endpoint) but frontend live-update depends on sync
64,Form guide sorts by points; View Full Table pagination works,Medium,50,Server orders standings correctly; full-table pagination UI not implemented
65,Tapping a fixture opens correct match detail,Medium,0,No clickable fixture/detail route implemented
66,Sync failure/rate-limit shows stale-data notice rather than blank,Medium,20,UI shows `ErrorState`; stale-data banner not implemented but `lastSyncedAt` shown
67,Postponed/rescheduled fixtures reflected and pick-lock timers adjust,Medium,100,Sync writes `status`, `utcDate`, `providerUpdatedAt` in `syncFootballData.ts`
68,Chip balance identical across screens,High,0,`getChipBalance` API exists but UI consistency not fully validated
69,Daily Free Reward claimable once per 24h and not double-claimable,High,0,Endpoint `getChipBalance` and dailyReward mock exist; enforcement not implemented
70,Limited-Time Offer countdown accurate and offer disappears at zero,High,0,Not implemented
71,Purchase flow shows correct charge and credits on success,High,0,Purchase flows not implemented server-side
72,Each booster performs intended effect exactly,High,0,Booster logic scaffolding exists but behavior not fully implemented
73,Using booster deducts chip amount exactly once; insufficient balance blocks purchase,High,0,Shop purchase implementation incomplete
74,Coupons apply correct discount, respect expiry, can't be reused,High,0,Not implemented
75,Fairness check: boosters not pay-to-win,High,0,Policy/validation not implemented
76,Vault balance updates correctly across screens,High,0,Vault balance plumbing incomplete
77,Cross-screen consistency for survivors, vault, countdown, pick status,High,0,Not implemented end-to-end
78,When match goes live/finishes, screens update without manual refresh,High,0,Live updates (WS/push) not implemented
79,Primary pick loses -> backup evaluated correctly,High,0,Partial: resolvePick handles logic but results engine integration required
80,User eliminated only when both primary and backup fail,High,0,Depends on results engine; resolvePick supports but not fully integrated
81,Simultaneous kickoffs at lock deadline: confirm rule (per-fixture vs per-gameweek),High,0,Rule undefined and not implemented
82,Elimination can't be reversed by refresh/relogin,High,0,Depends on results engine and DB constraints; not fully validated
83,Edge case: all remaining survivors eliminated same GW has defined outcome,High,0,Policy not implemented
84,Winning the vault triggers correct payout/credit and new Won Vaults entry,High,0,Not implemented
85,Notifications fire for pick locking, results, knocked out, vault won, chat mention,Medium,0,Notifications not implemented
86,Each notification deep-links to exact screen,Medium,0,Not implemented
87,Turning off notification category stops it firing,Medium,0,Not implemented
88,No duplicate/spammy notifications from retried jobs,Medium,0,Not implemented
89,Supabase RLS prevents users accessing others' data,High,0,Backend uses Drizzle/Neon; RLS not present here; validation required
90,Football-data.org API key never appears in frontend,High,100,Implemented: `footballData.fetchFootballData` uses env var server-side
91,Authenticated endpoints return proper 401/403 on logged-out/expired tokens,High,0,Auth middleware used in server routes but full behavior depends on auth implementation
92,Chat messages, league names, usernames sanitized against XSS/SQL injection,High,0,Sanitization not fully audited or implemented
93,Pick-submission and fixture-sync endpoints rate-limited to survive bursts,High,0,Rate limiting not implemented
94,Load-test pick submission for thousands of users at final 60s,Medium,0,Performance testing not done
95,Cold start time and tab-switch responsiveness acceptable on mid-range device,Medium,0,Perf testing not done
96,Crest/image loading usable under 3G,Medium,0,Not tested/optimized
97,Large history (38+ GWs, 1,000+ survivors) doesn't slow League Detail,Medium,0,Not tested/optimized
98,Test on iOS Safari and Android Chrome older versions,Medium,0,Not done
99,Mobile-first layout renders correctly on small phones,Medium,0,Not validated
100,Dark-only theme: no light-mode flash and no low-contrast text,Medium,0,Not fully validated
101,Status indicators have non-colour cues for colourblind users,Medium,0,Accessibility improvements needed
102,Basic screen-reader pass: labels for buttons and countdowns,Medium,0,Accessibility not fully tested
103,Curacao gambling licence status confirmed active,High,0,Business/legal task, not implemented in code
104,Terms/Privacy published and linked in-app,High,0,Static pages exist but linkage not fully validated
105,Age verification/KYC gate for cash prizes,High,0,Not implemented
106,Country-by-country legal eligibility blocks restricted regions,High,0,Not implemented
107,Responsible-gambling messaging and self-exclusion option,High,0,Not implemented
108,App Store/Play Store listing matches app behavior,High,0,Not applicable to repo
109,Day-of smoke test (fresh install -> sign up -> join -> submit -> simulate result -> confirm),High,0,End-to-end smoke test not executed
110,Fixture sync pulled live gameweek's data before kickoff,High,80,Sync logic implemented server-side; scheduling/cadence must be configured and verified
111,Crash reporting/monitoring dashboard receiving events,High,0,Not configured in repo
112,Rollback plan ready if critical bug post-launch,High,0,Operational task not present
